query_table,query_value,candidate_table,candidate_value
hospital_left,king faisal specialist hospital and research centre,hospital_right,king faisal specialist hospital
footballleagueseason_left,1946 slovenian republic league,footballleagueseason_right,slovenian republic league 1946
shoppingmall_left,mall at the source,shoppingmall_right,the mall at the source
clericaladministrativeregion_left,syro-malabar catholic archdiocese of changanassery,clericaladministrativeregion_right,syro-malabar catholic archeparchy of changanassery
case_left,department of the interior v. klamath water users protective association,case_right,department of the interior v. klamath water users protective ass'n
legislature_left,chamber of deputies (haiti),legislature_right,chamber of deputies of haiti
magazine_left,relevant (magazine),magazine_right,relevant (magazine)
unitofwork_left,city of walla walla v. walla walla water company,unitofwork_right,city of walla walla v. walla walla water co
wrestler_left,rick wilson (wrestler),wrestler_right,rick williams
museum_left,western canada aviation museum,museum_right,royal aviation museum of western canada
memberofparliament_left,david prior (politician),memberofparliament_right,"david prior, baron prior of brampton"
soccertournament_left,2010 uefa women's u-17 championship,soccertournament_right,2010 uefa women's under-17 championship
clericaladministrativeregion_left,roman catholic diocese of calama,clericaladministrativeregion_right,roman catholic diocese of san juan de calama
soccerleague_left,ffsa national premier league,soccerleague_right,ffsa premier league
soccerleague_left,victorian premier league,soccerleague_right,national premier leagues victoria
governmentagency_left,california department of real estate,governmentagency_right,california bureau of real estate
amphibian_left,blanco river springs salamander,amphibian_right,blanco river springs salamander
device_left,mark 30 torpedo,device_right,18\
politicalparty_left,communist party of the people of spain,politicalparty_right,communist party of the peoples of spain
amphibian_left,striped marsh frog,amphibian_right,striped marsh frog
stadium_left,k park training academy,stadium_right,k-park training academy
ethnicgroup_left,nepalis in the united kingdom,ethnicgroup_right,nepalese in the united kingdom
ethnicgroup_left,albanian american,ethnicgroup_right,albanian americans
stadium_left,welch stadium,stadium_right,francis g. welch stadium
amphibian_left,jemez mountains salamander,amphibian_right,jemez mountains salamander
reptile_left,monte cristo arboreal alligator lizard,reptile_right,monte cristo arboreal alligator lizard
soccerleague_left,"georgian premier league,",soccerleague_right,georgian premier league
basketballteam_left,porta xi cbf,basketballteam_right,porta xi ensino cbf
soccerleague_left,craven and district football league,soccerleague_right,craven and district league
basketballteam_left,toros de los dos laredos,basketballteam_right,toros de nuevo laredo
election_left,"somaliland parliamentary election, 2014",election_right,"somaliland parliamentary election, 2012"
venue_left,swan theatre (stratford),venue_right,"swan theatre, stratford-upon-avon"
venue_left,"verizon wireless amphitheater (selma, texas)",venue_right,verizon wireless amphitheater (selma)
reptile_left,natal midlands dwarf chameleon,reptile_right,natal midlands dwarf chameleon
ethnicgroup_left,asian latin american,ethnicgroup_right,asian latin americans
footballmatch_left,2006 international rules series,footballmatch_right,2006 international rules series
amphibian_left,ozark zigzag salamander,amphibian_right,ozark zigzag salamander
ethnicgroup_left,frisian american,ethnicgroup_right,frisian americans
stadium_left,bright hockey center,stadium_right,bright-landry hockey center
amphibian_left,california red-legged frog,amphibian_right,california red-legged frog
televisionstation_left,kpse-lp,televisionstation_right,kpse-ld
election_left,"washington state senate elections, 2014",election_right,"washington state senate election, 2014"
monarch_left,al-nasir muhammad,monarch_right,an-nasir muhammad
wrestler_left,leon (wrestler),wrestler_right,leon (japanese wrestler)
amphibian_left,common frog,amphibian_right,common frog
venue_left,maxwell c. king center for the performing arts,venue_right,king center for the performing arts
venue_left,harris theater (pittsburgh),venue_right,"harris theater (pittsburgh, pennsylvania)"
amphibian_left,sacramento mountain salamander,amphibian_right,sacramento mountain salamander
christianbishop_left,harold de soysa,christianbishop_right,harold de soyza
sportsleague_left,guam men's soccer league,sportsleague_right,guam soccer league
footballmatch_left,argentina v england (1986 fifa world cup),footballmatch_right,argentina 2â1 england (1986 fifa world cup)
motorsportseason_left,1993 world rally championship season,motorsportseason_right,1993 world rally championship
christianbishop_left,charles petre eyre,christianbishop_right,charles eyre (bishop)
footballmatch_left,2009 african nations championship final,footballmatch_right,2009 african championship of nations final
ethnicgroup_left,belgian canadian,ethnicgroup_right,belgian canadians
noble_left,"john de grey, 1st baron grey de rotherfield",noble_right,"john de grey, 2nd baron grey de rotherfield"
election_left,"danish parliamentary election, 1979",election_right,"danish general election, 1979"
ethnicgroup_left,sierra leonean american,ethnicgroup_right,sierra leonean americans
museum_left,museum of john paul ii collection,museum_right,john paul ii collection museum
tournament_left,2012 bell challenge,tournament_right,2012 challenge bell
memberofparliament_left,gary carr (politician),memberofparliament_right,gary carr
device_left,chieftain tank,device_right,chieftain (tank)
noble_left,"matilda of flanders, duchess of brabant",noble_right,mathilde of flanders
ethnicgroup_left,asian canadian,ethnicgroup_right,asian canadians
ethnicgroup_left,orthodox christianity in lebanon,ethnicgroup_right,greek orthodox christianity in lebanon
soccerleague_left,scottish premier under-20 league,soccerleague_right,spfl u20 league
soccertournament_left,1970 ncaa division i men's soccer championship,soccertournament_right,1970 ncaa men's soccer championship
televisionstation_left,ksbt-ld,televisionstation_right,ksbt-lp
amphibian_left,seal salamander,amphibian_right,seal salamander
railwayline_left,line c (buenos aires metro),railwayline_right,line c (buenos aires underground)
election_left,"liechtenstein parliamentary election, 2009",election_right,"liechtenstein general election, 2009"
case_left,"toilet goods association, inc. v. gardner",case_right,"toilet goods ass'n, inc. v. gardner"
reptile_left,big bend slider,reptile_right,big bend slider
song_left,boxing (ben folds five song),song_right,boxing (song)
unitofwork_left,wallace corporation v. national labor relations board,unitofwork_right,wallace corp. v. nlrb
ethnicgroup_left,trinidadian and tobagonian australian,ethnicgroup_right,trinidadian and tobagonian australians
reptile_left,sharp-snouted rock lizard,reptile_right,sharp-snouted rock lizard
christianbishop_left,patriarch joannicius i of constantinople,christianbishop_right,joannicius i of constantinople
shoppingmall_left,lakeshore mall (florida),shoppingmall_right,lakeshore mall
legislature_left,house of assembly (kiribati),legislature_right,house of assembly of kiribati
basketballteam_left,neckar riesen ludwigsburg,basketballteam_right,enbw ludwigsburg
politicalparty_left,serbian democratic party (bosnia and herzegovina),politicalparty_right,serb democratic party (bosnia and herzegovina)
magazine_left,the blast (newspaper),magazine_right,the blast (magazine)
monarch_left,parakkamabahu iii of dambadeniya,monarch_right,parakramabahu iii of dambadeniya
ncaateamseason_left,2013 hawaii warriors football team,ncaateamseason_right,2013 hawaii rainbow warriors football team
christianbishop_left,william daniel (bishop),christianbishop_right,william daniel (archbishop)
stadium_left,goyang korea national baseball team training stadium,stadium_right,goyang national baseball training stadium
election_left,"tamil nadu legislative assembly election, 1989",election_right,"tamil nadu legislative assembly election, 1989"
song_left,watch me (bella thorne and zendaya song),song_right,watch me (bella thorne & zendaya song)
motorsportseason_left,2013 world touring car championship season,motorsportseason_right,2013 world touring car championship
case_left,northern pipeline construction company v. marathon pipe line company,case_right,northern pipeline construction co. v. marathon pipe line co.
award_left,writers guild of america award for television: dramatic series,award_right,writers guild of america award for best screenplay â dramatic series
hospital_left,springfield hospital,hospital_right,springfield university hospital
legislature_left,parliament of croatia,legislature_right,croatian parliament
song_left,send it on (song),song_right,send it on (disney's friends for change song)
election_left,"kerala state legislative assembly election, 2006",election_right,"kerala legislative assembly election, 2006"
shoppingmall_left,the promenade shopping centre,shoppingmall_right,promenade (shopping centre)
shoppingmall_left,brunswick shopping centre,shoppingmall_right,brunswick shopping centre
race_left,breeders' cup marathon,race_right,las vegas marathon (horse race)
country_left,italian aegean islands,country_right,italian islands of the aegean
song_left,widow wake my mind (the smashing pumpkins song),song_right,widow wake my mind
